1.5545	Most refugees were women, children, elderly, or disabled.	大多数难民是妇女、儿童、老人或残疾人。
1.1259	On 4 March 2014, the United States pledged $1 billion in aid to Ukraine.	5月11日，美国众议院批准向乌克兰提供超过400亿美元的援助。
1.1257	These comments have been collectively translated and circulated outside of Chinese social media platforms, inciting widespread anti-Chinese sentiments and threatening the safety of Chinese people living in Ukraine.	有观点指出，尽管世界上不少国家舆论场都有类似声音，但只有中国大陆的这类言论被集中翻译并传播，引发了乌克兰的反华浪潮，危及当地华人的安全；
1.1254	NATO Secretary General Jens Stoltenberg replied that "Russia has no say" on whether Ukraine joins, and that "Russia has no right to establish a sphere of influence to try to control their neighbors."	北约秘书长延斯·斯托尔滕贝格认为，在俄罗斯对乌克兰进行侵略的情况下，不可能与俄罗斯进行有意义的对话。
1.1253	Although Russia denied involvement, Russian troops took part in the fighting.	俄罗斯军队参与了这场冲突，同时秘密派遣军队帮助分离主义分子。
1.1205	On 4 March 2022, Putin signed into law a bill introducing prison sentences of up to 15 years for those who publish "fake news" about the Russian military and its operations, leading to some media outlets to stop reporting on Ukraine.	3月4日，普京签署俄罗斯议会通过的一项法律修正案，规定独立报道俄国进攻乌克兰的人触犯刑法，最高刑期15年。
1.1199	The main infantry and tank attacks were launched in four spearheads, creating a northern front launched towards Kyiv from Belarus, a southern front from Crimea, a southeastern front from Russian-controlled Donbas, and an eastern front from Russia towards Kharkiv and Sumy.	俄军从俄罗斯、白俄罗斯和两个被占领的乌克兰的领土（克里米亚和顿巴斯）发起攻势，四大主要攻势是基辅攻势、乌克兰东北部攻势、乌克兰东部攻势和乌克兰南部攻势。
1.1194	While anti-war and pro-Ukraine voices exist, they are few in number and have been viciously attacked by the pro-Russian masses and often censored.	民间舆论同样存在反对战争或支持乌克兰的声音，部分被删除或受到攻击。
1.1193	Interim Ukrainian President Oleksandr Turchynov accused Russia of "provoking a conflict" by backing the seizure of the Crimean parliament building and other government offices on the Crimean peninsula.	乌克兰代理总统亚历山大·图奇诺夫指责俄罗斯支持武装分子夺取克里米亚议会大厦和其他政府办公室挑起冲突，将俄罗斯的军事行动比作2008年的俄罗斯－格鲁吉亚战争，当时俄罗斯军队占领格鲁吉亚共和国部分地区，导致阿布哈兹和南奥塞梯两个地区脱离格鲁吉亚宣布独立。
1.1187	Russian military buildup around Ukraine (2021–2022)	2021年—2022年：全面战争前奏、俄罗斯集结兵力
1.1181	After Russia formally annexed the peninsula on 18 March, Ukrainian military bases and ships were stormed by Russian forces.	3月18日俄罗斯正式并吞克里米亚半岛。
1.1174	Chinese peace proposal	中方主张停止冲突、拯救生命。
1.1171	On 4 March, China Central Television (CCTV) started the live broadcast of the opening ceremony of the 2022 Paralympic Winter Games, which was held in Beijing.	2022年3月4日，中国中央电视台对北京2022冬残奥会开幕式进行了实况转播，期间国际残奥委会主席安德鲁·帕森斯以英语致词时谈及俄乌局势，强烈谴责战争并呼吁和平，但中国中央电视台对这段发言进行了消音处理，并且未有完整翻译，他为20名出场的乌克兰运动员鼓掌和呼吁和平的镜头也被替换；
1.1165	Ukrainian general Valerii Zaluzhnyi claimed responsibility on 7 September.	瓦列里·扎卢日内 - 5月24日“俄罗斯安全部队的一名代表援引乌克兰军方的消息来源告诉俄新社，乌克兰武装部队总司令瓦列里·扎卢日尼 (Valery Zaluzhny) 因俄罗斯导弹袭击受伤后将无法继续服役。”
1.1157	Military experts disagreed on the future of the conflict; some suggested that Ukraine should trade territory for peace, while others believed that Ukraine could maintain its resistance thanks to Russian losses.	有西方官员批评，中国的倡议意味乌方无法夺回被俄方侵占的领土，由于中俄关系密切，质疑中国能否有效担任调解俄乌战争的角色。
1.1157	Foreign involvement	加入志愿组织为战争做出贡献的外国人必须通过其他方式获得临时居留权。
1.1155	Economic sanctions included a ban on Russian aircraft using EU airspace, a ban of certain Russian banks from the SWIFT international payments system, and a ban on certain Russian media outlets.	欧盟还会对俄罗斯及白俄罗斯实施新一轮的制裁，相关措施包括追加制裁14名俄寡头和146名俄联邦委员会议员，限制向三家白俄罗斯主要银行及其分支机构提供SWIFT国际结算系统服务，对俄实施海上航行技术出口管制。
1.1147	In January 2023, the Russian Ministry of Defence confirmed their responsibility for the Dnipro residential building airstrike, which killed over 40 civilians.	2023年1月14日，第聂伯罗一处住宅大楼遭到俄军的导弹的攻击，至少造成21人丧生和73人受伤，35人下落不明，400人无家可归。
1.1143	Prices for wheat and grain rose, with Ukraine being a major exporter of both crops.	为应对袭击，小麦价格已经飙升至2008年以来的最高水平：俄罗斯和乌克兰生产了全球30%的供应。
1.1142	In September, Reuters reported that Kremlin Chief of Staff Dmitry Kozak had an agreement with the Ukrainian side with Ukraine's declaration that it will not join NATO, which was presented as Russia's key concern.	9月14日，路透社称俄罗斯副总理德米特里·科扎克已从乌克兰方面取得不寻求加入北约组织的共识，但未得到普京同意，而且据称普京还“将（军事行动）目标扩大到吞并乌克兰大片领土”。
1.1138	On 24 February 2023, China issued a twelve-point peace plan outline, calling for a cease fire and peace talks.	2023年2月24日，中国外交部发布了《关于政治解决乌克兰危机的中国立场》，其中包含12点立场声明，包括尊重主权、停火止战、启动和谈、保护平民、反对核战争等。
1.1135	The BBC stated that it could not verify these claims.	发布有关报告的《新日报》承认他们无法核实事实，并要求报告的批评者为他们提供事实核实。
1.1129	The Russian invasion of Ukraine violated international law (including the Charter of the United Nations).	俄罗斯正在从其领土上炮击乌克兰的整个领土，这违反了国际法。
1.1120	Seven, including Russia, voted against the measure.	中国与俄罗斯在会议中投下反对票。
1.1111	Refugee crisis	乌克兰难民在欧洲与当地民众的矛盾
1.1107	On 1 March, he warned, "Military intervention would be the beginning of war and the end of any relations between Ukraine and Russia."	“军事干预将是战争的开始，也是乌克兰和俄罗斯之间关系的结束。”
1.1094	Following the October 2022 missile strikes on Ukraine, China and India, who had abstained from condemning Russia at the UN, expressed concern and called for de-escalation and dialogue.	10月10日，俄军对乌克兰全境发动大规模导弹袭击，此前在谴责俄罗斯的《联合国大会第ES-11/3号决议》中投弃权票的中国及印度表达关切，呼吁各方恢复冷静，以对话手段解决分歧。
1.1090	On 28 February, Turkey invoked the 1936 Montreux Convention and sealed off the straits to Russian warships that were not registered to Black Sea home bases and returning to their ports of origin.	乌克兰要求土耳其根据1936年《蒙特勒公约》对俄罗斯船只关闭博斯普鲁斯海峡和达达尼尔海峡。
1.1089	The International Court of Justice ordered Russia to suspend military operations and the Council of Europe expelled Russia.	国际法院裁定俄罗斯“必须立即停止在乌克兰的军事行动”。
1.1087	Over 1,000 companies closed their operations in Russia and Belarus as a result of the invasion.	据耶鲁大学管理学院的最新统计，自俄国开始入侵乌克兰以来，全球已有逾600家企业宣布撤出俄罗斯。
1.1083	In May 2022 a group calling themselves NAFO was created with the object of posting irreverent commentary about the war and memes promoting Ukraine or mocking the Russian war effort and strategy using a "cartoon dog" based on the Shiba Inu.	五月份以来，欧美亲乌网友自发地聚集在名为“北大西洋小伙子组织”（NAFO）的组织下，他们负责嘲讽地应对俄罗斯的虚假宣传。
1.1081	In the northern front, amidst heavy losses and strong Ukrainian resistance surrounding Kyiv, Russia's advance stalled in March, and by April its troops retreated.	但是在3月起，基辅攻势的俄军遭到强大抵抗，逼使俄罗斯军队在2022年4月全面从北方撤军，把重心放在乌克兰东、南部地区。
1.1071	The coverage of the Russian invasion of Ukraine by mainland Chinese media has raised some controversies.	中国大陆对俄罗斯入侵乌克兰的新闻出现一定数量的虚假信息。
1.1067	Ukrainian public opinion	中国官方对乌克兰主权的表态
1.1063	On the following day, the Russian Defence Ministry said these soldiers had crossed the border "by accident".	同日俄罗斯政府称乌克兰展开的炮击摧毁了俄罗斯乌克兰边境的联邦安全局边境设施，并称打死五名“越过边界进入俄罗斯的乌克兰士兵”。
1.1061	That statement is disputed.	这种立场是不可理解的”。
1.1050	Street protests against the war in Ukraine arose in Russia.	反对俄罗斯入侵乌克兰的反战抗议活动更在俄罗斯与欧洲境内遍地开花。
1.1046	The Deputy US Representative for ECOSOC describes such resolutions as "thinly veiled attempts to legitimize Russian disinformation campaigns denigrating neighboring nations and promoting the distorted Soviet narrative of much of contemporary European history, using the cynical guise of halting Nazi glorification".NAFO ('North Atlantic Fellas Organization'), a loose cadre of online 'shitposters' vowing to fight Russian disinformation generally identified by cartoon Shiba Inu dogs in social media, gained notoriety after June 2022, in the wake of a Twitter quarrel with Russian diplomat Mikhail Ulyanov.	2021年12月在联合国大会上“反对美化纳粹主义、新纳粹主义和其他助长种族主义、仇外心理和不能容忍行为”的决议案中，乌克兰和美国投下反对票，美国指责俄国这一提案实际上是“几乎不加掩饰地试图使俄罗斯诋毁邻国的虚假信息运动合法化，并利用停止颂扬纳粹的幌子，促进苏联对当代欧洲历史的大部分内容的歪曲”。
1.1046	Russian cyberattacks shut down websites associated with the Ukrainian government, news media, and social media.	当天俄罗斯当局封锁了美国之音、英国广播公司、德国之声等媒体的网站以及脸书和推特。
1.1040	U.S. sanctions	对美国枪击案的胡乱推测
1.1034	Financial markets ====	交易市场波动和俄乌经济措施
1.1033	It concluded without result, with delegations from both sides returning to their capitals for consultations.	晚上，双方返回首都 。
1.1032	On 20 March, Turkey's Foreign Minister Mevlüt Çavuşoğlu, the mediator of the talks, described them as "making progress".	3月7日，土耳其外交部长梅夫吕特·恰武什奥卢称俄乌两国外长将于3月10日在土耳其会面，共同参加安塔利亚外交论坛会议。
1.1027	In addition to diplomatic support in its conflict with Russia, the U.S. provided Ukraine with US$1.5 billion in military aid during the 2010s.	一年间美国提供给乌克兰的军事援助总额已超过10亿美元。
1.1016	On 26 April 2023, Xi Jinping made an hour-long call to Ukrainian President Volodymyr Zelenskyy.	2023年4月26日，中华人民共和国领导人习近平与乌克兰总统弗拉基米尔·泽连斯基通电话，为2022年俄罗斯入侵乌克兰以来二人首次通话。
1.1016	2023 counteroffensives and summer campaign (8 June 2023 – present)	第五阶段：乌克兰2023反攻与俄罗斯反击（6月4日至今）
1.1002	A Russian missile attack on Kramatorsk railway station in the city of Kramatorsk took place on 8 April, reportedly killing at least 52 people and injuring as many as 87 to 300.	乌克兰当地时间4月8日，乌克兰称顿涅茨克州的克拉马托尔斯克火车站遭受两枚俄军导弹袭击，当时难民正在等待被疏散到安全地区，该袭击至少造成35名平民死亡，另有逾百人受伤。
1.0993	The Ministry of Foreign Affairs of Ukraine said it is initiating a ban on entry to Ukraine for all "touring" Chinese bloggers in response and expects the Chinese side to explain the purpose of the Chinese citizens' stay in Mariupol, as well as the way they entered the temporarily occupied Ukrainian city.	中国驻乌克兰大使馆在开战后2天始发布通知，开始登记在乌中国公民，要求登记人员持有中国护照或旅行证，含香港特区护照、澳门特区护照、台胞证，无护照人员则须持有中国居民身份证，准备以包机的形式撤离。
1.0973	The U.S. has accused China of providing Russia with technology it needs for high-tech weapons, allegations which China has denied.	美国一边要求中方不向俄罗斯提供武器，一边却长期向台湾售武。
1.0971	NATO says it is not at war with Russia; its official policy is that it does not seek confrontation, but rather its members support Ukraine in "its right to self-defense, as enshrined in the UN Charter".	北约否认这一说法，重申北约是一个防御性联盟，其并不寻求对抗，由此不会对俄罗斯构成威胁，亦表示俄方对其接纳的成员国并没有否决权。
1.0965	Pro-Russia unrest	俄罗斯“扩张主义”问题
1.0961	The Russian invasion of Ukraine began on the morning of 24 February 2022, when Putin announced a "special military operation" to "demilitarise and denazify" Ukraine.	2022年2月24日，普京授权俄军在乌克兰进行“特别行动”，“旨在去军事化和去纳粹化乌克兰”，兵分三路进攻乌克兰。
1.0960	In March 2023, the Treasury Department sanctioned six Chinese entities for supplying components to the Iran Aircraft Manufacturing Industries Corporation, which manufactures HESA Shahed 136 drones used by Russia against Ukraine.	美国财政部宣布对总部位于中国杭州、香港、桂林和深圳的5家公司（Koto Machinery、Raven、Guilin Alpha、S&C Trade、Caspro）和1名个人（Yun Xia Yuan）组成的网络实施制裁，它们向伊朗飞机制造工业公司（Iran Aircraft Manufacturing Industrial Company）销售和供应航空航天部件，包括可用于无人机的部件，而这些无人机被伊朗用来攻击油轮，并出口到俄罗斯用于乌克兰战争。
1.0957	The Russian information war against Ukraine has been another front of hybrid warfare waged by Russia.	乌克兰方面澄清，这是俄罗斯对乌克兰信息战的一部分。
1.0952	Following Putin's announcement of Russia annexing four regions of Ukrainian territory it had seized during its invasion, Zelenskyy announced that Ukraine would not hold peace talks with Russia while Putin was president.	9月30日，普京正式宣布吞并此前占领的乌克兰四州，泽连斯基表示不会在普京还是总统的时候与俄罗斯和谈。
1.0950	On 21 February at 22:35 (UTC+3), Putin announced that the Russian government would diplomatically recognize the Donetsk and Luhansk people's republics.	2月22日，俄罗斯外交部宣布与顿涅茨克和卢甘斯克建立大使级外交关系。
1.0944	The US denied this.	，而中国大陆媒体否认此事。
1.0940	Talks began on 28 February, near the Belarusian border.	2月28日的谈判持续了约5个小时。
1.0938	Ukraine withdrew soldiers and military equipment back to Ukraine over the course of 2022 that had been deployed to United Nations peacekeeping missions like MONUSCO in the Democratic Republic of the Congo.	乌克兰还告知联合国决定把其在刚果民主共和国参加维和任务的250名军人和包括8架直升机在内的军事装备调回乌克兰。
1.0934	Russian annexation of Donetsk, Kherson, Luhansk and Zaporizhzhia oblasts	俄外交承认乌东地区的顿涅茨克与卢甘斯克共和国
1.0930	As part of the Russian invasion of Ukraine, the Russian state and state-controlled media have spread disinformation in an information war.	自俄罗斯入侵乌克兰以来，中国官媒通过引述俄罗斯官方对战争叙事方式，向世界各地的观众与读者散布来自俄方的未经证实的信息和阴谋论。
1.0921	Countering Russian disinformation ==	被指俄罗斯制造的假新闻
1.0916	Peace negotiations: First phase of invasion (24 February to 7 April 2022) ===	第一阶段：俄罗斯全面入侵乌克兰（2022年2月24日—4月7日）
1.0915	Russosphere is a French-language social network that promotes pro-Russian propaganda in Africa.	由俄罗斯资助的媒体在非洲传播影响力的宣传发挥了重要作用，一些非洲地区对俄罗斯的形象和战略不一定与乌克兰的观点相同。
1.0905	In November, Ukraine retook parts of Kherson Oblast, including the city of Kherson itself.	同年8月，乌克兰发动攻势并夺回俄罗斯唯一一个成功占领的地区首府赫尔松。
1.0904	Chinese state media outlets and netizens have often taken pro-Russia stances and repeated Russian rhetoric, including disinformation.	除了亲俄反美的虚假信息被推广外，中国社媒平台也同时打压反俄反战言论。
1.0904	Peace talks: Third phase of invasion (6 September to present)	第四阶段：俄罗斯苏勒达尔-巴赫穆特攻势及国际对乌重武器援助（1月16日—6月4日）
1.0903	The base is near Novofedorivka, a destination popular with tourists.	，然而谷歌地图显示新卡霍夫卡有一个叫Казкова Діброва的动物园，靠近第聂伯河，距离大坝不到1英里，坐标46.76338346635151, 33.3608823801508。
1.0901	CCTV muted this segment of the speech, and did not release a complete translation.	但中国中央电视台没有对此作出答复。
1.0892	The war in Donbas began in April 2014 when armed Russian-backed separatists seized Ukrainian government buildings and proclaimed the independent Donetsk People's Republic and Luhansk People's Republic.	2014年4月，在经过所谓的公投后，两个受俄罗斯支持、分裂自乌克兰的准国家——顿涅茨克人民共和国和卢甘斯克人民共和国宣布成立，随后乌克兰政府军开始进入顿巴斯地区与亲俄分离武装战斗，顿巴斯战争正式爆发。
1.0889	Russian forces invaded Ukraine.	俄罗斯战机和导弹袭击了乌克兰西部地区。
1.0887	In July 2021, Putin published an essay titled "On the Historical Unity of Russians and Ukrainians", claiming that Russians and Ukrainians were "one people".	2021年7月12日，俄罗斯总统弗拉基米尔·普京发表《论俄罗斯人和乌克兰人的历史统一》，阐述两国历史渊源，指出乌克兰倒向西方的结果，批评泽连斯基提交的法案。
1.0878	The report, which was supposedly published that January, claimed the U.S. planned the Russian invasion of Ukraine and the subsequent energy crisis to weaken Germany and divide Europe.	该计划称，英国脱欧之后，德国更加独立，故美国应当将德国拖入乌克兰的军事冲突，以使德国拒绝俄罗斯的能源，从而破坏德国的经济，使美国受益。
1.0870	U.S. National Security Council spokesman John Kirby responded by accusing Lula of "parroting Russian and Chinese propaganda", describing his comments as "simply misguided" and "suggesting the United States and Europe are somehow not interested in peace, or that we share responsibility for the war".	五角大楼新闻秘书约翰·柯比驳斥俄罗斯的说法是“荒谬”，并表示美国“没有在任何地方开发或拥有此类武器”。
1.0868	On 18 February, the Donetsk and Luhansk people's republics ordered mandatory emergency evacuations of civilians from their respective capital cities, although observers noted that full evacuations would take months.	2022年2月18日，顿涅茨克人民共和国和卢甘斯克人民共和国的领导人进行了广播讲话，其中明确号召当地住民撤往俄罗斯。
1.0867	Denial of Russian war crimes	承认俄罗斯是恐怖主义国家
1.0858	In May 2022, as the invasion continued, Russian state media claimed that Ukraine was using black magic to fend off the Russian military.	2022年5月3日，美国政府指责中国政府和官方媒体帮俄罗斯政府传播有关乌克兰战争的虚假宣传，这表明北京表面上保持中立，实际上支持莫斯科对乌克兰发动侵略战争。
1.0852	Such denial of nationhood is said to be part of a campaign of incitement to genocide by Russian state authorities.	这一分析反驳了俄罗斯声称杀害平民事件在俄军撤军后发生的说法。
1.0844	On 6 March, Ukrainian official Denys Kireyev was found dead after being accused of committing ‘treason’ and working for Russia.	《乌克兰真理报》称，曾参加2月28日和谈的一名乌方人员、乌克兰银行家杰尼斯·基列耶夫与另两名男子3月5日被发现死在基辅街头，又称枪杀他的是乌克兰国家安全局，因后者掌握其勾结俄罗斯的证据。
1.0832	Nya Dagbladet's article was shared by Russian state media outlet RT and the Russian Embassy in Sweden on Twitter.RAND denied publishing such a report, stating that it was a fake.	该篇文章于9月17日由俄罗斯驻瑞典大使馆在Twitter发布后，立刻在Twitter上受到瑞典人的大量批评。
1.0831	According to the United States, Chinese ammunition has been used on battlefields in Ukraine.	此后，新华社认为，美国对乌克兰输送武器是破坏和谈的算计。
1.0824	The following day, Ukraine's parliament proclaimed a 30-day nationwide state of emergency and ordered the mobilisation of all reservists.	冲突发生后，乌克兰宣布在俄乌接壤地区实行30天的战争状态。
1.0819	The invasion received widespread international public condemnation.	国际社会广泛谴责俄罗斯对乌克兰的入侵。
1.0817	On 14 April, CIA director William Burns said that "potential desperation" in the face of defeat could encourage President Putin to use tactical nuclear weapons.	美国中央情报局局长威廉·约瑟夫·伯恩斯于4月14日在亚特兰大佐治亚理工学院对学生发表演讲时点名批评中国是普京在乌克兰的侵略活动的沉默伙伴。
1.0813	This unwritten promise was allegedly made to Soviet leader Mikhail Gorbachev in 1990, but this was denied by both NATO and Gorbachev.	俄罗斯和中国多次在反对北约时称北约曾对时任苏联总统戈尔巴乔夫承诺“北约不会东扩”以证明北约是背信弃义的一方，该消息有多重错误：戈尔巴乔夫本人曾在2014年否认相关会议涉及北约东扩。
1.0812	89% of those polled opposed 2014 Russian military intervention in Ukraine.	新华网报道“另外高达89%的受访者表示‘可以接受’在俄方不撤军的情况下与俄方签订临时停火协议。”
1.0809	Kherson-Mykolaiv front	尼古拉耶夫-敖德萨战线
1.0805	In February 2023, The Wall Street Journal reported that according to Russian customs data, Chinese companies have shipped dual-use items such as navigation equipment, jamming technology, and fighter jet parts to Russian state-owned companies.	2023年3月22日，《纽约时报》引述俄罗斯官方海关数据报导指出，自俄罗斯入侵乌克兰以来的一年里，中国已向俄罗斯出售了价值超过1200万美元的无人机和无人机部件。
1.0799	Ukrainian civilians resisted the Russian invasion by volunteering for territorial defence units, making Molotov cocktails, donating food, building barriers like Czech hedgehogs, and helping to transport refugees.	乌克兰难民可免签证入境，且可以获得饮食、医疗和住宿的援助。
1.0799	Deliberate destruction and looting of Ukrainian cultural heritage sites in this way is considered a war crime.	议会也承认俄罗斯武装部队及其政治和军事领导层对乌克兰的全面侵略是对乌克兰人民的种族灭绝。
1.0793	A day later on 26 November 2018, the Ukrainian parliament overwhelmingly backed the imposition of martial law along Ukraine's coastal regions and those bordering Russia.	随后，欧洲议会于11月23日投票通过承认俄罗斯是恐怖主义国家的决议，亦为设立战争罪法庭铺平道路。
1.0793	Russian Foreign Minister Sergey Lavrov called the Bucha massacre a "fake attack" used against Russia, claiming it had been staged.	库列巴称事件由乌克兰防空系统发射导弹所导致的说法是“阴谋论”。
1.0786	Other officials said that they had not seen evidence that China actually supplied arms to Russia.	但其他机构的数据显示，非制裁国对俄罗斯的出口并没有填补西方制裁留下的空白。
1.0785	On 28 April 2022, US President Joe Biden asked Congress for an additional $33 billion to assist Ukraine, including $20 billion to provide weapons to Ukraine.	3月24日，美国总统拜登宣布将再向乌克兰提供20亿美元的军事援助以及10亿美元的人道主义援助。
1.0784	The PRC has called for peace negotiations since the conflict began to address the legitimate security concerns of all parties involved.	中方希望各方为通过对话解决危机积累有利条件。
1.0778	Full-scale Russian invasion of Ukraine (2022–present)	2022年—现在：全面侵略战争爆发
1.0770	List of ongoing armed conflicts	宣称摧毁不存在的装备
1.0768	Shortly after, pro-Russian unrest erupted in eastern and southern Ukraine.	不久乌克兰东南部发生亲俄动乱，这些地区的示威者支持亚努科维奇政府，并且与乌克兰临时政府爆发冲突。
1.0765	Russia began to evacuate its embassy in Kyiv.	可口可乐公司3月暂停在俄罗斯的业务。
1.0763	On 15 November 2022, Russia fired 85 missiles at the Ukrainian power grid, causing major power outages in Kyiv and neighboring regions.	2022年11月15日晚间，波兰在临近乌克兰的领土上被导弹击中。
1.0762	Reports of an alleged leak of Russian Federal Security Service (FSB) documents by US intelligence sources said that the FSB had not been aware of Putin's plan to invade Ukraine.	《纽约时报》报导根据一份匿名的欧洲某国家情报，称中国政府一早就知道俄罗斯入侵乌克兰的计划，并与俄方交涉推迟战事时被截获。
1.0759	As an example, it was suspected that two days before the full-scale invasion of Ukraine, Horizon News, the international relations subsection of The Beijing News, accidentally released an internal notice publicly on its official Weibo account.	在俄罗斯全面入侵乌克兰前两日，《新京报》所属国际栏目“世面”疑似不慎将有关乌克兰冲突相关内容的审查准则内部通告当成新闻稿在新浪微博公开发布，其中要求限制发布“对俄不利”和“亲西方”的内容；
1.0757	Russia reported that 12 attacks with explosions from 50 artillery shells had been recorded by 18 August at the plant and the company town of Enerhodar.	此外，此次袭击，该地119间私人房屋和18间公寓楼也遭到了俄罗斯导弹不同程度的损害。
1.0755	BBC Reality Check found no evidence supporting the claims.	在事实核查下，证实有关报告为虚假信息。
1.0754	The International Paralympic Committee believed that censorship took place and demanded an explanation from CCTV.As of early March, journalist Lu Yuguang of state-run Phoenix Television was the only foreign correspondent to have been embedded with frontline Russian forces.	截至2022年3月初，凤凰卫视记者卢宇光是唯一一位驻扎在俄罗斯前线部队的外国记者。
1.0754	On 28 June, Reuters reported that a Russian missile attack on the city of Kremenchuk northwest of Zaporizhzhia detonated in a public mall and caused at least 18 deaths.	2023年6月27日，俄罗斯的导弹袭击了克拉马托尔斯克中心的一家披萨餐馆，至少导致11位平民死亡，其中包括4名儿童，以及57位平民受伤。
1.0750	Such disinformation is intended to weaken international support for Ukraine.	中华人民共和国向乌克兰提供援助，乌克兰副总理伊琳娜·韦列休克批评这些援助并不符合乌克兰当前的需求和不切实际。
1.0748	Ukraine lies on the Black Sea, which has ocean access only through the Turkish-held Bosphorus and Dardanelles straits.	根据公约协议，土耳其拥有对博斯普鲁斯海峡和达达尼尔海峡的控制权和管理海军军舰过境的权力，保障和平时期民用船只的自由通行，限制不属于黑海沿岸国家的船只通行，在战时或受到侵略威胁时有权对所有外国军舰关闭海峡，还可以拒绝与土耳其交战的国家的商船过境，并在发生冲突时加固海峡。
1.0739	The Russian state media agency TASS claimed that Ukrainian President Volodymyr Zelenskyy fled Kyiv following the invasion and also that he had surrendered.	其中俄罗斯国家杜马议长维亚切斯拉夫·维克多洛维奇·沃洛金25日表示，乌克兰总统泽连斯基已经离开基辅前往利沃夫，并补充说泽连斯基在社交网络上发布的所有视频都是提前录制好的，并表示有关泽连斯基离开的消息来自乌克兰最高拉达的代表。
1.0736	U.S. officials said that the Biden administration made this allegation to discourage China from actually providing assistance to Russia.	除美国总统拜登外，欧盟和北约也表示，如果中国试图向俄罗斯提供军事支援或帮助俄罗斯减少因制裁受到的影响，将面临严重后果。
1.0735	The Wikimedia Foundation appealed the ruling in June, stating the "information at issue is fact-based and verified by volunteers who continuously edit and improve articles on the site; its removal would therefore constitute a violation of people's rights to free expression and access to knowledge."In November 2022, a Russian court fined the Wikimedia Foundation 2 million rubles for not deleting "false" information in seven articles about the "special military operation", including the Bucha massacre and the Mariupol theatre airstrike.	RKN声称俄语维基百科条目2022年俄罗斯入侵乌克兰（页面存档备份，存于互联网档案馆）中包含虚假信息，条目中列出的俄罗斯军队以及乌克兰平民和儿童伤亡人数是虚假的，要求网站运营机构（维基媒体基金会）删除这些信息。
1.0733	Zelenskyy stated that he planned to meet Xi Jinping because it would be useful to both countries and global security.	泽连斯基呼吁国际社会支持台湾
1.0724	Lawrence Freedman writes that calling Ukraine a NATO "proxy" wrongly implies that "Ukrainians are only fighting because NATO put them up to it, rather than because of the more obvious reason that they have been subjected to a vicious invasion".	安德烈亚斯·乌姆兰称亚速营曾有哈尔科夫俄语裔极右派血统，但成为正规作战部队后已经“去意识形态化”，新兵加入不是因为意识形态而是因为“它作为一个特别强大的作战单位而享有盛誉”，“纳粹”指责多来自俄国宣传战。
1.0720	Ukrainian forces stated that Russian intelligence groups had been spotted in the area.	乌克兰情报部门认为，这段视频是俄罗斯军事间谍机构格鲁乌的作品。
1.0715	The deal aimed to prevent Poland and Ukraine from being cut off from Russian gas supplies.	4月26日，俄罗斯停止向波兰和保加利亚供应天然气。
1.0713	Russian regional head Sergei Aksyonov said that 2,000 people were evacuated from the area.	俄罗斯国防部长谢尔盖·绍伊古称将有30万额外人员被征召到乌克兰的军事行动中服役，当地随即出现逃亡潮。
1.0708	After the Supreme Court of Ukraine annulled the initial result due to widespread electoral fraud, a second round re-run was held, bringing to power Yushchenko as president and Yulia Tymoshenko as prime minister, and leaving Yanukovych in opposition.	导火索为广场革命后，亲俄的乌克兰总统维克托·亚努科维奇被罢免下台，导致乌克兰东部和东南部地区爆发亲俄动乱，俄罗斯随后出兵占领克里米亚，俄罗斯在当地举行极具争议的公投后，正式吞并克里米亚。
1.0708	Some Chinese companies are under sanctions from the U.S. as sources of weaponry components and dual-use technology exported to Russia.	在中国运往俄罗斯的数万件军民两用物品中，有雷达干扰装置、导航设备和战斗机备件等，而收件人是被列入制裁名单的俄罗斯国防公司。
1.0705	The commission has previously said that violations committed by Russian forces in Ukraine, including the use of torture, may constitute crimes against humanity.	决议概委也要求俄罗斯停止克里米亚居民的侵犯人权和违反国际人道主义法的行为。
1.0700	A video of the alleged pilot was shared on Facebook and the official Twitter account of the Ukrainian Ministry of Defence, was later found to be from the video game Digital Combat Simulator World.	在网上疯传的一段视频中，一名中国士兵展示了与一名俄罗斯活动人士在现场拍摄的视频，并发布在 TikTok 的顿巴斯版抖音上。
1.0690	Some Western commentators have claimed that the main reason many Russians have supported Putin and the "special military operation" in Ukraine has to do with the propaganda and disinformation.	保障民主联盟（Alliance for Securing Democracy）的调查报告也发现，在乌俄战争的背景下，中国官媒和外交账号大多采用了俄官方用语“特别军事行动”（Special Military Operation）来描述这场战争。
1.0689	Russian biologists in and outside of Russia have debunked the claims, stating that the allegations are "transparently false".According to researcher Adam Rawnsley, the Kremlin has a history of discrediting ordinary biology labs in former Soviet republics, having previously spread conspiracy theories about Georgia and Kazakhstan similar to the accusations deployed against Ukraine.	事实查核机构Snopes亦将俄罗斯入侵乌克兰以攻击美国在该国的秘密生物实验室的说法证伪，解释称其是“正在进行的俄罗斯造谣运动”的一部分，并指出至少自2018年以来，俄罗斯宣传人员一再传播美国在乌克兰运营秘密生物实验室的说法。
1.0687	Wang was part of a group of Chinese bloggers illegally visiting the Ukrainian city.	期间中国驻乌大使也发布通知在乌公民可以乘乌克兰专列撤往西部的邻国通知。
1.0684	A nuclear war cannot be won and must never be fought."	乌克兰还没有发生全面战争。”
